Index,Store,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
92,1,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False
93,1,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,False
94,1,60.14,3.236,410.31,98.0,55805.51,8.0,554.92,218.4676211,7.866,True
96,1,43.93,3.158,4640.65,19.0,105.02,3639.42,14461.82,218.9618456,7.866,False
97,1,51.63,3.159,5011.32,67.0,347.37,225.79,4011.37,219.1794533,7.866,False
98,1,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,False
99,1,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,True
100,1,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483.0,219.7142581,7.348,False
101,1,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,False
102,1,54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,False
103,1,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.0788523,7.348,False
104,1,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,False
105,1,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,True
106,1,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,False
107,1,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,False
108,1,60.96,3.63,15441.4,1569.0,10.8,25390.88,8067.61,220.8480454,7.348,False
109,1,58.76,3.669,10331.04,151.88,6.0,671.43,5509.84,221.0591887,7.348,False
110,1,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,False
111,1,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,False
112,1,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,False
114,1,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,False
115,1,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,False
121,1,77.95,3.501,6086.21,12.0,370.51,148.75,3690.85,221.7472139,7.143,False
122,1,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,False
123,1,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,False
124,1,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,False
126,1,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,False
127,1,77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,False
128,1,80.42,3.311,3213.0,313.72,9.53,2262.02,3228.19,221.9327267,6.908,False
129,1,82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,False
130,1,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,False
131,1,85.05,3.494,11436.22,245.0,6.85,6964.26,4836.22,221.9584329,6.908,False
132,1,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,False
133,1,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,False
134,1,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,False
135,1,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,True
136,1,74.97,3.717,17212.52,7.0,18.79,1523.11,7992.72,222.5820193,6.908,False
137,1,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,False
138,1,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,False
142,1,69.16,3.506,2585.85,31.75,6.0,1057.16,1305.01,223.4442513,6.573,False
143,1,55.32,3.386,6766.44,5147.7,50.82,3639.9,2737.42,223.4627793,6.573,False
144,1,61.24,3.314,11421.32,3370.89,40.28,4646.79,6154.16,223.4813073,6.573,False
145,1,52.92,3.252,9696.28,292.1,103.78,1133.15,6612.69,223.5129105,6.573,False
146,1,56.23,3.211,883.59,4.17,74910.32,209.91,303.32,223.5619474,6.573,True
151,1,44.79,3.108,12659.55,37101.13,174.78,74.46,1208.86,223.9604143,6.573,True
152,1,41.73,3.161,1214.08,25366.33,15.01,72.36,3940.02,224.080983,6.525,False
153,1,50.32,3.243,6520.24,16134.6,12.17,774.55,4001.25,224.2015518,6.525,False
154,1,42.92,3.237,3772.69,3559.46,3.88,246.62,1900.4,224.2358132,6.525,False
155,1,53.37,3.227,965.89,1097.91,0.1,225.36,1831.88,224.2355518,6.525,False
156,1,56.46,3.244,9290.91,1359.9,265.0,20657.82,972.61,224.2352903,6.525,False
157,1,56.67,3.417,32355.16,729.8,280.89,20426.61,4671.78,224.2350289,6.525,True
158,1,49.66,3.475,72937.29,6665.52,47.21,13014.67,6310.18,224.2760526,6.525,False
159,1,50.25,3.597,20107.75,3163.89,42.2,15657.3,5812.86,224.4202895,6.525,False
160,1,48.01,3.711,10610.74,261.46,2.8,25.54,2747.59,224.5645263,6.525,False
161,1,50.81,3.658,5000.58,290.46,78.77,606.15,3697.11,224.7087632,6.525,False
165,1,58.59,3.583,12872.34,5687.86,485.97,478.04,5092.33,225.0865399,6.314,False
166,1,62.72,3.529,3672.43,932.58,52.86,949.07,2836.64,225.1701596,6.314,False
167,1,67.1,3.451,3530.36,3.95,107.5,458.76,2062.05,225.1701596,6.314,False
274,2,59.33,3.297,10797.64,20445.0,443.32,4754.07,4787.16,217.6455387,7.441,False
275,2,62.01,3.308,6490.92,1217.76,152.12,873.82,7656.42,217.8670218,7.441,False
276,2,56.36,3.236,919.71,62.0,77451.26,23.0,1589.43,218.1130269,7.441,True
277,2,48.74,3.172,8010.99,83.47,1897.27,4444.0,28238.93,218.3590319,7.441,False
278,2,41.76,3.158,11472.59,40.0,306.43,4160.55,8899.08,218.605037,7.441,False
279,2,50.13,3.159,4908.83,61.03,341.49,469.8,4744.27,218.8217928,7.441,False
280,2,46.66,3.112,2971.04,15.18,1501.75,88.76,6437.61,218.9995495,7.441,False
281,2,44.57,3.129,8321.44,92523.94,139.53,1515.4,3027.69,219.1773063,7.441,True
282,2,46.75,3.157,5886.72,37454.29,121.16,2388.92,7103.97,219.355063,7.057,False
283,2,45.99,3.261,4414.72,12092.63,98.38,708.18,4245.6,219.5328198,7.057,False
284,2,51.7,3.268,6552.26,4355.69,105.97,1703.1,3376.03,219.6258417,7.057,False
285,2,50.5,3.29,1920.15,1507.56,86.09,43.4,2613.53,219.7188636,7.057,False
286,2,55.21,3.36,75149.79,3818.85,221.4,48159.86,7423.61,219.8118854,7.057,False
287,2,46.98,3.409,13510.89,6674.42,94.07,14114.9,9577.83,219.9049073,7.057,True
288,2,43.82,3.51,13942.54,14273.24,15.76,4927.14,6650.08,220.0651993,7.057,False
289,2,54.63,3.555,13048.36,12059.1,10.2,5299.73,10380.03,220.275944,7.057,False
290,2,58.79,3.63,23901.27,2144.7,9.0,9799.63,4929.53,220.4866886,7.057,False
291,2,57.11,3.669,11784.91,368.32,3.0,2498.17,7746.0,220.6974332,7.057,False
292,2,63.68,3.734,5965.99,230.42,3.0,2650.77,2073.81,220.8498468,7.057,False
293,2,64.01,3.787,6008.98,139.93,6.63,1650.49,5263.08,220.9244858,7.057,False
294,2,66.83,3.845,14369.3,164.77,17.0,1017.31,3470.49,220.9991248,7.057,False
295,2,68.43,3.891,12132.59,1.3,32.58,4874.69,5535.13,221.0737638,6.891,False
296,2,68.08,3.891,8994.04,6573.08,20.21,4162.2,1966.38,221.1484028,6.891,False
297,2,65.69,3.877,7311.02,2236.2,33.53,878.07,4080.32,221.2021074,6.891,False
303,2,78.38,3.501,13091.33,21.0,245.37,2993.15,5521.72,221.3852748,6.891,False
304,2,78.69,3.452,12162.04,463.6,78.39,3610.78,10877.64,221.3877467,6.891,False
305,2,80.56,3.393,8573.41,195.0,0.19,4455.38,5288.61,221.4009901,6.891,False
306,2,81.04,3.346,12126.02,314.0,60.99,6058.6,36430.33,221.4411622,6.891,False
308,2,84.2,3.227,12355.5,295.05,100.15,6720.4,5506.53,221.5215064,6.565,False
309,2,80.17,3.256,8354.65,342.25,20.53,5674.44,5012.22,221.5616784,6.565,False
310,2,83.23,3.311,6961.58,241.2,24.97,3401.36,2453.42,221.5701123,6.565,False
311,2,86.37,3.407,6999.14,197.72,2.53,6319.33,5007.01,221.5785461,6.565,False
312,2,90.22,3.417,27650.68,164.58,43.02,21801.9,6652.98,221.5869799,6.565,False
313,2,88.55,3.494,5554.54,142.3,13.43,4187.43,5286.19,221.5954138,6.565,False
314,2,84.79,3.571,4774.16,330.78,10.53,4253.28,4927.26,221.6751459,6.565,False
315,2,76.91,3.62,4759.7,211.38,6.62,2972.88,5102.26,221.8083518,6.565,False
316,2,82.64,3.638,17500.26,73.22,21.38,12878.62,4756.5,221.9415576,6.565,False
317,2,87.65,3.73,10658.86,149.28,60.97,2920.9,3275.57,222.0747635,6.565,True
319,2,71.09,3.721,6707.94,3.82,15.55,1001.42,7607.94,222.4169362,6.565,False
320,2,79.45,3.666,7106.05,1.91,1.65,1549.1,3946.03,222.6164329,6.565,False
324,2,69.79,3.506,6152.59,129.77,200.0,272.29,2924.15,223.0783366,6.17,False
325,2,56.4,3.386,9585.99,6181.03,32.4,1571.2,4510.08,223.0968655,6.17,False
326,2,61.9,3.314,9497.69,2711.51,109.45,7185.16,6480.49,223.1153944,6.17,False
327,2,52.72,3.252,26925.38,285.03,101.44,2014.28,8732.45,223.1469028,6.17,False
328,2,58.06,3.211,2280.54,2.49,105146.3,927.97,1253.85,223.1957173,6.17,True
332,2,55.14,3.098,5692.66,248.76,312.92,594.17,2167.73,223.4728642,6.17,False
333,2,41.56,3.108,13194.12,56549.69,377.76,115.89,3479.8,223.5933316,6.17,True
334,2,39.12,3.161,2045.13,34381.53,26.36,159.76,3863.31,223.7137989,6.237,False
335,2,47.42,3.243,6722.95,12098.17,13.68,1067.36,5383.2,223.8342663,6.237,False
336,2,40.98,3.237,3737.16,3047.9,9.26,49.14,2758.1,223.86882,6.237,False
337,2,51.33,3.227,1599.61,1605.81,0.6,161.21,1963.72,223.8690083,6.237,False
338,2,54.75,3.244,13078.9,1642.02,545.2,12725.35,5002.74,223.8691966,6.237,False
339,2,56.08,3.417,63622.34,687.56,358.29,44824.98,8167.67,223.8693849,6.237,True
340,2,48.92,3.475,16105.39,6019.52,11.33,5982.79,7043.58,223.9106714,6.237,False
341,2,48.16,3.597,6907.35,4354.2,16.58,1054.97,3019.84,224.0547032,6.237,False
342,2,46.08,3.711,6023.68,439.6,4.4,56.86,4416.82,224.198735,6.237,False
343,2,51.12,3.658,24134.43,54.43,136.7,7235.69,6441.67,224.3427668,6.237,False
347,2,58.3,3.583,16944.64,4983.34,411.07,2378.92,3007.06,224.7192583,6.112,False
348,2,61.23,3.529,10165.99,395.13,66.86,1537.62,3122.19,224.8025314,6.112,False
349,2,67.05,3.451,6858.52,12.72,104.72,219.88,2640.86,224.8025314,6.112,False
350,2,58.13,3.417,2782.18,11.92,146.45,461.83,2046.53,224.8025314,6.112,False
456,3,61.7,3.297,8787.59,2006.62,200.01,570.57,1005.33,221.4117517,7.197,False
457,3,63.91,3.308,1383.53,23.27,19.95,865.09,2926.05,221.6432852,7.197,False
459,3,54.97,3.172,850.86,18.94,781.71,394.29,7297.1,222.1589519,7.197,False
460,3,49.26,3.158,4059.38,6.47,123.42,833.44,3018.08,222.4167852,7.197,False
463,3,48.29,3.129,1449.16,14356.07,66.66,81.43,777.35,223.0090839,7.197,True
464,3,52.42,3.157,3824.22,9389.98,15.0,415.36,1476.85,223.1923049,6.833,False
466,3,56.2,3.268,720.82,1629.26,1.46,16.05,799.5,223.4700552,6.833,False
468,3,59.33,3.36,9667.5,268.29,0.6,8368.15,804.24,223.6591137,6.833,False
469,3,51.65,3.409,8687.47,1594.87,2.2,2144.87,2577.83,223.753643,6.833,True
470,3,52.39,3.51,2706.87,3128.74,1.88,2396.68,1631.28,223.9170153,6.833,False
473,3,60.71,3.669,8368.5,298.46,1.39,1340.29,1416.22,224.5620291,6.833,False
474,3,64.0,3.734,2588.06,80.89,3.2,909.76,491.83,224.7166953,6.833,False
475,3,66.53,3.787,737.08,36.1,1.43,92.11,583.9,224.7909104,6.833,False
476,3,69.36,3.845,825.1,99.83,1.25,113.25,388.39,224.8651254,6.833,False
478,3,72.83,3.891,5359.22,1673.42,3.0,682.03,1371.55,225.0135556,6.664,False
479,3,72.05,3.877,2784.82,130.68,1.75,425.29,904.8,225.0689541,6.664,False
485,3,81.55,3.501,2664.55,10.0,220.03,618.49,1940.77,225.2518313,6.664,False
486,3,81.65,3.452,5770.48,28.6,30.18,283.7,2093.48,225.2521458,6.664,False
487,3,84.66,3.393,2014.47,31.8,1.0,631.17,835.34,225.2644795,6.664,False
488,3,82.7,3.346,1843.45,11.2,0.51,421.71,1743.54,225.3068615,6.664,False
490,3,83.14,3.227,2625.99,30.7,28.16,703.16,1962.17,225.3916254,6.334,False
491,3,82.28,3.256,3196.9,20.8,2.02,302.29,451.1,225.4340074,6.334,False
492,3,81.38,3.311,1266.72,66.2,3.83,149.62,558.02,225.4438827,6.334,False
493,3,84.94,3.407,3447.28,31.0,2.46,1791.7,1107.97,225.4537579,6.334,False
