Index,Store,Date,Temperature,Fuel_Price,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
93,4,18/11/2011,62.25,3.308,254.39,51.98,427.39,5988.57,218.2205088,7.866,False
94,1,25/11/2011,60.14,3.236,98.0,55805.51,8.0,554.92,218.4676211,7.866,True
95,1,02/12/2011,48.91,3.172,68.0,1398.11,2084.64,20475.32,218.7147333,7.866,False
96,1,09/12/2011,43.93,3.158,19.0,105.02,3639.42,14461.82,218.9618456,7.866,False
97,1,16/12/2011,51.63,3.159,67.0,347.37,225.79,4011.37,219.1794533,7.866,False
98,1,23/12/2011,47.96,3.112,40.48,634.7,24.9,2739.43,219.3577216,7.866,False
99,1,30/12/2011,44.55,3.129,46011.38,260.36,983.65,4735.78,219.5359898,7.866,True
100,1,06/01/2012,49.01,3.157,21813.16,143.1,1450.13,8483.0,219.7142581,7.348,False
101,1,13/01/2012,48.53,3.261,8025.87,42.24,453.08,3719.38,219.8925263,7.348,False
102,1,20/01/2012,54.11,3.268,2807.19,33.88,500.62,3400.21,219.9856893,7.348,False
103,1,27/01/2012,54.26,3.29,1082.74,44.0,11.0,1222.19,220.0788523,7.348,False
104,1,03/02/2012,56.55,3.36,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,False
105,1,10/02/2012,48.02,3.409,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,True
106,1,17/02/2012,45.32,3.51,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,False
107,1,24/02/2012,57.25,3.555,7556.01,3.2,1219.92,8143.59,220.636902,7.348,False
108,1,02/03/2012,60.96,3.63,1569.0,10.8,25390.88,8067.61,220.8480454,7.348,False
109,1,09/03/2012,58.76,3.669,151.88,6.0,671.43,5509.84,221.0591887,7.348,False
110,1,16/03/2012,64.74,3.734,7.5,2.02,2724.65,2017.69,221.2118132,7.348,False
111,1,23/03/2012,65.93,3.787,9.48,4.97,426.72,3657.22,221.2864126,7.348,False
112,1,30/03/2012,67.61,3.845,0.5,10.25,1654.17,2642.78,221.3610119,7.348,False
114,1,13/04/2012,69.07,3.891,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,False
115,1,20/04/2012,66.76,3.877,612.02,19.75,275.13,5747.1,221.5640737,7.143,False
121,1,01/06/2012,77.95,3.501,12.0,370.51,148.75,3690.85,221.7472139,7.143,False
122,1,08/06/2012,78.3,3.452,116.8,64.55,2652.04,7161.91,221.7494839,7.143,False
123,1,15/06/2012,79.35,3.393,109.6,0.25,2420.28,3083.26,221.7626421,7.143,False
124,1,22/06/2012,78.39,3.346,171.25,3.05,2524.07,7063.68,221.8030211,7.143,False
126,1,06/07/2012,81.57,3.227,94.4,192.83,4066.01,6149.04,221.8837789,6.908,False
127,1,13/07/2012,77.12,3.256,45.2,36.24,3909.38,2596.37,221.9241579,6.908,False
128,1,20/07/2012,80.42,3.311,313.72,9.53,2262.02,3228.19,221.9327267,6.908,False
129,1,27/07/2012,82.66,3.407,389.02,1.59,10267.54,4325.19,221.9412954,6.908,False
130,1,03/08/2012,86.11,3.417,119.98,30.23,12007.04,4661.71,221.9498642,6.908,False
131,1,10/08/2012,85.05,3.494,245.0,6.85,6964.26,4836.22,221.9584329,6.908,False
132,1,17/08/2012,84.85,3.571,137.86,4.84,2752.2,3446.15,222.0384109,6.908,False
133,1,24/08/2012,77.66,3.62,260.06,2.97,3463.03,7988.25,222.1719457,6.908,False
134,1,31/08/2012,80.49,3.638,102.32,21.7,13209.64,3032.96,222.3054805,6.908,False
135,1,07/09/2012,83.96,3.73,35.74,50.94,4120.32,2737.17,222.4390153,6.908,True
136,1,14/09/2012,74.97,3.717,7.0,18.79,1523.11,7992.72,222.5820193,6.908,False
137,1,21/09/2012,69.87,3.721,7.64,4.69,1010.06,6456.71,222.7818386,6.908,False
138,1,28/09/2012,76.08,3.666,7.64,1.65,1417.96,4744.28,222.9816579,6.908,False
142,1,26/10/2012,69.16,3.506,31.75,6.0,1057.16,1305.01,223.4442513,6.573,False
143,1,02/11/2012,55.32,3.386,5147.7,50.82,3639.9,2737.42,223.4627793,6.573,False
144,1,09/11/2012,61.24,3.314,3370.89,40.28,4646.79,6154.16,223.4813073,6.573,False
145,1,16/11/2012,52.92,3.252,292.1,103.78,1133.15,6612.69,223.5129105,6.573,False
146,1,23/11/2012,56.23,3.211,4.17,74910.32,209.91,303.32,223.5619474,6.573,True
151,1,28/12/2012,44.79,3.108,37101.13,174.78,74.46,1208.86,223.9604143,6.573,True
152,1,04/01/2013,41.73,3.161,25366.33,15.01,72.36,3940.02,224.080983,6.525,False
